0.0000	-0.7962	0.0774
0.2000	-1.0406	0.0691
0.4000	-0.7938	0.1236
0.6000	-0.8996	0.1194
0.8000	-0.5879	0.1020
1.0000	-0.3258	0.1003
1.2000	0.0266	0.1134
1.4000	0.1794	0.1967
1.6000	0.4561	0.2023
1.8000	0.7126	0.2033
2.0000	0.9063	0.1381
2.2000	0.8202	0.1368
2.4000	0.4447	0.1779
2.6000	0.4123	0.1557
2.8000	0.0725	0.1425
3.0000	-0.1708	0.1373
3.2000	-0.2206	0.1858
3.4000	-0.7663	0.1929
3.6000	-0.9886	0.1283
3.8000	-1.0470	0.1095
4.0000	-0.7115	0.1008
4.2000	-0.5705	0.1480
4.4000	-0.6570	0.2057
4.6000	-0.1790	0.1326
4.8000	0.0697	0.1914
5.0000	0.6878	0.1071
5.2000	0.5701	0.0586
5.4000	0.8375	0.1361
5.6000	0.9152	0.1215
5.8000	0.8510	0.1281
6.0000	0.6392	0.1563
6.2000	0.2300	0.1360
